Vendor List,,,,,,,,,,,,,,,
Category,KW,Vendor name,ADDRESS,Date,Invoice no,HSN NO,item,Specification,Make,Unit ,Unit Rate,GST %,WITH GST,DISCOUNT PRICE,TOTAL
ELECTRICAL HARDWARE  ,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",26/Apr/2025,TMG-733/25-26,39171010,U PVC Shoe,25mm(1''),Supreme,Nos,16.1,18%,19,,
ELECTRICAL HARDWARE  ,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",26/Apr/2025,TMG-733/25-26,35061000,U PVC Paste,237ml,Hp Aqua plus,Nos,156.48,18%,185,,
ELECTRICAL HARDWARE  ,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",26/Apr/2025,TMG-733/25-26,72179099,GI Wire,18 kg,,kg,140,18%,165,,
ELECTRICAL HARDWARE  ,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",26/Apr/2025,TMG-733/25-26,85446020,4g Olflex,10sq.mm,,Mtr,498.3,18%,588,,
ELECTRICAL HARDWARE  ,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",26/Apr/2025,TMG-733/25-26,39171010,PVC Elbow PN10,5mm(3/4''),,Nos,8.41,18%,10,,
ELECTRICAL HARDWARE  ,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",26/Apr/2025,TMG-733/25-26,39171010,Tee,25mm(3/4''),,Nos,10.98,18%,13,,
ELECTRICAL HARDWARE  ,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",26/Apr/2025,TMG-733/25-26,85361010,Ring type Socket,10sq.mm,,Nos,8,18%,9,,
ELECTRICAL HARDWARE  ,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",26/Apr/2025,TMG-733/25-26,85369090,Pin type Socket,10sq.mm,Dowells,Nos,112.5,12%,126,,
ELECTRICAL HARDWARE  ,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",26/Apr/2025,TMG-733/25-26,74191029,Nutral link,63amp,,Nos,63.25,18%,75,,
ELECTRICAL HARDWARE  ,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",26/Apr/2025,TMG-733/25-26,85469090,PVC Insulation Tape,3/4'',Wonder K19,Nos,20,18%,24,,
ELECTRICAL HARDWARE  ,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",26/Apr/2025,TMG-733/25-26,85369090,MC4 Connectors,Male & Female,Ningbo,Set,42,12%,47,,
ELECTRICAL HARDWARE  ,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",26/Apr/2025,TMG-733/25-26,85446020,Wire,2.5sq.mm (Green),Olflex,Mtr,25.86,18%,31,,
ELECTRICAL HARDWARE  ,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",26/Apr/2025,TMG-733/25-26,85369090,Ring type Socket,2.5sq.mm,Dowells,Nos,4.43,12%,5,,
ELECTRICAL HARDWARE  ,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",26/Apr/2025,TMG-733/25-26,85365020,No 10 Wooden Plug,,,Pkt,6,18%,7,,
ELECTRICAL HARDWARE  ,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",26/Apr/2025,TMG-733/25-26,73181200,WOODEN SCREW,35x8,,Box,93,18%,110,,
DCDB,3 KW,FESTA SOLAR PRIVATE LTD ,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",27/May/2025,FSCH/01433/25-26,85362010,DCDB Box ,1 in 1 out - 500v,,Nos,1430,18%,1687,,
,,,,,,85362010,ACDB Box,1 in 1 out - 1 ph   25 A MCB,,Nos,1170,18%,1381,,
Inverter,3 KW,FESTA SOLAR PRIVATE LTD ,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",27/May/2025,FSCH/01432/25-26,85044090,Inverter 3 Kw,1 Ph Ongrid,DEYE,Nos,"15,800",12%,17696,,
ELECTRICAL HARDWARE  ,,DHARMSHRI ELECTRICALS PVT LTD,"Old No. 200, New No. 88, Nino Nina Building, Govindappa Naiken Street, Sowcarpet, Chennai - 600001",11/Jun/2025,250502375,9028:30:10,LCD MFM APP TYPE METER,10 - 60 A 3 Ph,GENUS,Nos,5500,18%,6490,,
ELECTRICAL HARDWARE  ,,VIJI ELECTRICALS,"63/20, Arasamaram Street, 3rd Line, Near Vinayakar Temple, Avarampalayam, Coimbatore - 641 006",20/Jun/2025,VE 079 25-26,85371000,EB 3Ph Meter Box Consists of 2 Service (Solar),3 Ph ,,Nos,6600,18%,7788,,
ELECTRICAL HARDWARE  ,,VIJI ELECTRICALS,"63/20, Arasamaram Street, 3rd Line, Near Vinayakar Temple, Avarampalayam, Coimbatore - 641 007",21/Jun/2025,VE 081 25-26,85361090,Fuse Carrier,100A,,Nos,637,18%,752,,
STEEL DOOR,,ASWATHI LASER TECH & ENGINEERING WORK,"Plot No. 21, Aswathi Laser Tech and Engineering Work KSIDC Investment Zone, Palakkad, Pampampallam PO, Walayar- 32",3/Jul/2025,25-26/204,7308,STEEL DOOR SINGLE 7 X4,,,Nos,31186.44,18%,36800,,
PVC,,DINESH PIPES AND FITTINGS,"59/61, Vivekandha Road, Ram nagar, Coimbatore - 641 009",17/Jul/2025,CSDP/207/25-26,39174000,PVC BEND,"3/4""",,Nos,15.25,18%,18,,
